                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3087,                 1.7733,                  1.401,                0.58569,                0.49597,                 0.5459,                 0.2769,                 1.6284,                 1.9265,                 1.6094,             0.00066387,             0.00066387,             0.00066387
                      2,                 1.4377,                 1.6356,                 1.5023,                0.59135,                0.47446,                0.52125,                0.28799,                 1.5479,                 1.9561,                 1.5995,              0.0013174,              0.0013174,              0.0013174
                      3,                 1.4573,                 1.6213,                 1.5278,                0.72499,                0.62009,                0.68001,                 0.3741,                 1.5023,                 1.4662,                 1.4747,              0.0019577,              0.0019577,              0.0019577
                      4,                 1.4363,                 1.5418,                 1.5096,                0.67301,                0.60484,                0.66772,                0.34134,                 1.6538,                 1.6127,                 1.5942,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.3806,                 1.4501,                 1.4822,                0.78903,                 0.6334,                 0.7397,                0.44231,                 1.3689,                 1.2861,                 1.4151,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.3423,                 1.3961,                 1.4488,                0.74481,                0.68011,                0.75435,                0.45642,                 1.3741,                 1.2833,                   1.41,               0.001901,               0.001901,               0.001901
                      7,                 1.3007,                 1.3208,                 1.4185,                0.74705,                0.67339,                0.77275,                0.46403,                 1.3483,                 1.2044,                 1.3813,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.2803,                 1.2934,                 1.4029,                0.79548,                0.73118,                0.82216,                0.51999,                 1.2229,                 1.1044,                 1.2976,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.2299,                  1.221,                 1.3711,                 0.7968,                0.74313,                0.82319,                0.52073,                 1.2711,                 1.0959,                 1.3432,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.2344,                 1.2084,                 1.3757,                0.80434,                0.73925,                0.82225,                0.51937,                 1.2276,                 1.1079,                 1.2859,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.2089,                 1.1641,                 1.3631,                0.86081,                0.71371,                0.83266,                0.53318,                 1.2646,                  1.034,                 1.3321,               0.001802,               0.001802,               0.001802
                     12,                 1.1941,                 1.1444,                 1.3449,                0.85426,                0.74462,                0.83397,                0.53801,                 1.2368,                 1.0049,                 1.2961,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.1416,                 1.0782,                 1.3062,                0.85489,                0.76882,                0.84827,                0.56086,                  1.184,                0.97235,                 1.2579,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.1454,                  1.081,                 1.3156,                0.85485,                0.73925,                0.84396,                0.55518,                 1.1817,                  0.988,                 1.2534,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.1208,                 1.0447,                 1.2997,                0.83803,                 0.7441,                0.84472,                0.53819,                 1.2147,                 1.0494,                 1.2788,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.1229,                  1.026,                  1.295,                0.89183,                0.73387,                0.85984,                0.56445,                 1.2009,                0.95449,                 1.2679,               0.001703,               0.001703,               0.001703
                     17,                 1.1203,                 1.0091,                 1.2889,                0.83451,                0.75806,                0.84071,                0.56597,                 1.1696,                0.97104,                 1.2442,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.1029,                  1.004,                 1.2778,                0.86287,                0.77808,                0.86988,                0.58627,                 1.1384,                0.87457,                 1.2086,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.0844,                0.98441,                 1.2696,                0.86446,                0.74462,                 0.8534,                0.56759,                 1.1751,                0.90981,                 1.2523,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.0863,                0.97646,                 1.2653,                0.85891,                0.76075,                0.86275,                0.58748,                 1.1314,                0.90108,                 1.2207,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.0753,                0.96302,                 1.2644,                0.87718,                0.78226,                0.87848,                0.61062,                 1.0945,                 0.8489,                 1.1805,               0.001604,               0.001604,               0.001604
                     22,                 1.0548,                0.92936,                 1.2464,                0.89589,                0.77823,                0.89002,                0.61322,                 1.1085,                0.82671,                 1.1917,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.0535,                0.90229,                  1.239,                0.86903,                0.80376,                 0.8897,                0.60736,                 1.1098,                0.80926,                 1.1896,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.0377,                 0.9135,                 1.2417,                0.86386,                0.77611,                0.88013,                0.59698,                 1.1221,                0.84234,                 1.2128,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.0281,                0.89745,                 1.2356,                 0.8583,                0.78156,                 0.8628,                0.60162,                 1.0872,                0.86106,                 1.1909,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.0125,                0.86809,                 1.2216,                 0.8663,                0.81867,                0.89208,                0.61829,                 1.0742,                 0.7998,                 1.1755,               0.001505,               0.001505,               0.001505
                     27,                 1.0111,                0.86002,                 1.2207,                0.87318,                0.79167,                0.87231,                0.59189,                 1.1175,                0.85258,                 1.2061,              0.0014852,              0.0014852,              0.0014852
                     28,                0.98839,                0.85711,                 1.2129,                0.87478,                0.77932,                0.87239,                0.59147,                 1.1455,                0.86252,                 1.2375,              0.0014654,              0.0014654,              0.0014654
                     29,                0.97684,                0.83172,                 1.2012,                0.82558,                 0.7825,                0.84922,                0.58145,                 1.1134,                0.89006,                 1.2178,              0.0014456,              0.0014456,              0.0014456
                     30,                0.98319,                0.83254,                 1.2052,                0.86261,                0.78479,                0.87023,                0.60642,                 1.0862,                0.84901,                 1.1929,              0.0014258,              0.0014258,              0.0014258
                     31,                 0.9722,                0.81098,                 1.1915,                0.89862,                0.79825,                0.90147,                 0.6271,                  1.101,                 0.7677,                 1.2018,               0.001406,               0.001406,               0.001406
                     32,                0.96637,                 0.8135,                 1.1883,                0.88725,                 0.7957,                0.88574,                0.60769,                 1.1061,                0.80489,                 1.2057,              0.0013862,              0.0013862,              0.0013862
                     33,                0.97545,                0.81632,                 1.1937,                0.83069,                0.80452,                0.86114,                0.57606,                  1.176,                0.88238,                 1.2409,              0.0013664,              0.0013664,              0.0013664
                     34,                0.95412,                0.80458,                 1.1911,                0.88874,                0.77304,                0.88598,                0.61662,                 1.1007,                0.79438,                 1.2062,              0.0013466,              0.0013466,              0.0013466
                     35,                0.94629,                0.78848,                 1.1749,                0.87331,                 0.8246,                0.90655,                0.63978,                 1.0698,                0.74961,                 1.1666,              0.0013268,              0.0013268,              0.0013268
                     36,                0.92001,                 0.7627,                 1.1598,                0.85858,                0.83737,                0.90265,                0.64293,                 1.0621,                0.75793,                  1.151,               0.001307,               0.001307,               0.001307
                     37,                0.92552,                0.76103,                 1.1619,                0.85782,                0.82716,                0.88797,                0.62391,                 1.0889,                0.76432,                 1.1873,              0.0012872,              0.0012872,              0.0012872
                     38,                0.93029,                0.76631,                 1.1733,                0.89165,                0.80511,                0.89797,                0.62703,                 1.0882,                0.78279,                 1.1889,              0.0012674,              0.0012674,              0.0012674
                     39,                 0.9058,                0.75497,                 1.1635,                0.90162,                0.80108,                 0.9013,                0.63772,                 1.0661,                0.76346,                 1.1755,              0.0012476,              0.0012476,              0.0012476
                     40,                0.90886,                 0.7389,                 1.1544,                0.87041,                0.83602,                0.88666,                0.61214,                 1.1059,                 0.7752,                 1.1858,              0.0012278,              0.0012278,              0.0012278
                     41,                0.90828,                0.74065,                 1.1563,                0.90052,                 0.8414,                0.91261,                0.64811,                 1.0599,                0.71417,                 1.1504,               0.001208,               0.001208,               0.001208
                     42,                0.91173,                 0.7411,                 1.1628,                0.88883,                0.80242,                0.88849,                0.62444,                 1.0804,                0.77184,                 1.1688,              0.0011882,              0.0011882,              0.0011882
                     43,                0.89358,                0.72245,                 1.1467,                0.88476,                0.81523,                0.89302,                0.62911,                 1.0754,                0.75633,                 1.1716,              0.0011684,              0.0011684,              0.0011684
                     44,                0.88472,                0.72394,                 1.1418,                0.86983,                 0.8263,                0.89168,                 0.6288,                 1.0779,                0.77138,                  1.178,              0.0011486,              0.0011486,              0.0011486
                     45,                0.89123,                 0.7241,                 1.1495,                0.88194,                0.80914,                0.88368,                0.61906,                 1.0814,                 0.7589,                 1.1813,              0.0011288,              0.0011288,              0.0011288
                     46,                0.87328,                0.70896,                 1.1356,                0.90017,                0.81201,                0.89532,                0.63388,                  1.065,                0.78833,                 1.1822,               0.001109,               0.001109,               0.001109
                     47,                 0.8704,                0.68451,                 1.1316,                0.87233,                0.81733,                0.88156,                0.61972,                 1.0892,                0.78816,                 1.1831,              0.0010892,              0.0010892,              0.0010892
                     48,                 0.8623,                0.68828,                  1.131,                0.89764,                0.79435,                0.88279,                0.62374,                 1.0761,                 0.7783,                 1.1824,              0.0010694,              0.0010694,              0.0010694
                     49,                0.85182,                0.69249,                 1.1264,                0.86614,                0.82619,                0.89644,                0.62949,                 1.0691,                0.75895,                 1.1808,              0.0010496,              0.0010496,              0.0010496
                     50,                0.85342,                 0.6838,                 1.1277,                0.90261,                0.79704,                0.89209,                0.63201,                 1.0684,                0.72959,                 1.1714,              0.0010298,              0.0010298,              0.0010298
                     51,                0.84598,                0.67481,                 1.1175,                0.90618,                0.80486,                0.88958,                0.62362,                 1.1042,                0.80432,                 1.1928,                0.00101,                0.00101,                0.00101
                     52,                0.84643,                0.66527,                 1.1147,                 0.8657,                0.83468,                0.90062,                0.62779,                 1.0831,                0.74917,                 1.1849,              0.0009902,              0.0009902,              0.0009902
                     53,                0.84162,                0.66827,                 1.1161,                0.89203,                0.81586,                0.89687,                0.64265,                 1.0567,                0.75227,                 1.1611,              0.0009704,              0.0009704,              0.0009704
                     54,                0.81937,                0.64093,                 1.1054,                 0.9118,                0.80591,                0.89743,                0.63778,                 1.0564,                0.73349,                 1.1655,              0.0009506,              0.0009506,              0.0009506
                     55,                0.81493,                0.64804,                 1.1013,                0.87952,                0.80455,                0.88638,                0.62862,                 1.0706,                0.76559,                 1.1757,              0.0009308,              0.0009308,              0.0009308
                     56,                0.81977,                0.63863,                 1.0983,                0.87336,                0.82124,                0.88228,                0.62866,                 1.0548,                0.77465,                 1.1681,               0.000911,               0.000911,               0.000911
                     57,                0.81004,                 0.6301,                  1.091,                0.92444,                0.78933,                0.88902,                0.63654,                  1.068,                0.76381,                 1.1845,              0.0008912,              0.0008912,              0.0008912
                     58,                0.80035,                  0.632,                  1.092,                0.92024,                0.80108,                0.89887,                 0.6414,                 1.0415,                0.73753,                  1.153,              0.0008714,              0.0008714,              0.0008714
                     59,                0.79746,                0.62409,                 1.0863,                0.90798,                0.80899,                0.90079,                0.63554,                 1.0512,                0.72527,                 1.1714,              0.0008516,              0.0008516,              0.0008516
                     60,                0.78005,                0.60847,                 1.0865,                0.91156,                0.81317,                0.90708,                0.64331,                  1.051,                0.72895,                 1.1615,              0.0008318,              0.0008318,              0.0008318
                     61,                0.78782,                0.60952,                 1.0869,                0.90343,                0.82392,                 0.8955,                0.63979,                 1.0618,                0.73373,                 1.1752,               0.000812,               0.000812,               0.000812
                     62,                0.78501,                0.61286,                 1.0865,                0.89987,                0.79727,                0.88179,                0.62899,                 1.0721,                0.77029,                 1.1833,              0.0007922,              0.0007922,              0.0007922
                     63,                0.77705,                0.60649,                 1.0821,                0.85261,                0.83468,                 0.8824,                0.62016,                  1.078,                0.76306,                 1.2007,              0.0007724,              0.0007724,              0.0007724
                     64,                0.76435,                0.59169,                 1.0776,                0.89837,                0.83737,                0.90226,                0.64311,                 1.0517,                0.71792,                 1.1684,              0.0007526,              0.0007526,              0.0007526
                     65,                0.76367,                0.59638,                 1.0761,                0.89488,                 0.8293,                 0.8999,                0.64182,                  1.056,                0.74534,                 1.1707,              0.0007328,              0.0007328,              0.0007328
                     66,                0.76326,                0.59485,                 1.0693,                0.90127,                0.80914,                0.89117,                0.63745,                 1.0671,                0.73751,                 1.1723,               0.000713,               0.000713,               0.000713
                     67,                0.75137,                0.57523,                 1.0625,                 0.8814,                0.81909,                0.88774,                0.63656,                 1.0638,                0.76237,                 1.1768,              0.0006932,              0.0006932,              0.0006932
                     68,                0.74729,                0.57517,                 1.0671,                0.88923,                0.82392,                0.89942,                0.64452,                 1.0627,                0.73898,                 1.1652,              0.0006734,              0.0006734,              0.0006734
                     69,                0.73602,                0.57045,                  1.065,                0.89433,                0.81901,                0.89618,                0.64293,                 1.0466,                0.75774,                 1.1534,              0.0006536,              0.0006536,              0.0006536
                     70,                0.74441,                0.56804,                 1.0634,                0.89448,                0.82258,                0.89744,                0.64929,                 1.0419,                0.73605,                 1.1673,              0.0006338,              0.0006338,              0.0006338
